SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Education level (grouped)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Education level (grouped)","No schooling","Some primary","Complete primary","Some secondary","Grade 12/Std 10","Higher","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10502002: Ward 2",689.181749,1889.65883,482.02965,1894.314074,1104.463542,668.707692,72.98158,773.826225,7575.163342,
"10502003: Ward 3",968.622167,2595.403759,581.00644,1504.106237,337.408273,32.021451,57.31478,823.14643,6899.029537,
"10502004: Ward 4",1196.17076,3042.515986,690.071722,1705.150439,622.297408,377.395774,76.39162,1077.818464,8787.812173,
"10503001: Ward 1",3546.575098,6324.892946,1396.9336,3885.435197,1022.702316,711.0667,77.47766,2560.700136,19525.783653,
"10503002: Ward 2",1883.47254,3983.152414,1049.696577,4502.269797,2962.855155,1213.376317,303.18811,2345.34283,18243.35374,
"10503003: Ward 3",2487.228509,6715.614919,1912.201846,6829.244964,2568.204169,517.320057,272.21556,2621.653574,23923.683598,
"10503004: Ward 4",1418.908483,3546.301373,940.051556,4629.262172,2545.603349,1111.831112,275.35905,1680.022152,16147.339247,
"10503005: Ward 5",2310.014069,6038.464127,1597.075621,6290.08885,2406.507259,567.785472,273.27351,2221.563256,21704.772164,
"10503006: Ward 6",1792.298032,4152.864061,1103.942478,3414.094247,838.066872,76.788842,75.63499,1588.330658,13042.02018,
"10503007: Ward 7",3028.734051,5693.93529,1533.416327,4908.226195,2167.68661,521.662232,220.80509,2908.065561,20982.531356,
"19100001: Ward 1",1963.544481,6996.662527,1434.991882,15635.568015,23133.879855,20173.411276,1537.08606,5440.46361,76315.607706,
"19100002: Ward 2",1430.788249,5538.976885,1253.226343,15382.071305,21297.942517,16255.215219,1044.7608,5590.925212,67793.90653,
"19100003: Ward 3",2037.621999,7484.482363,1495.605562,18687.879698,28260.341209,18665.678565,1955.22793,7042.154218,85628.991544,
"19100004: Ward 4",3166.937458,11589.60734,2427.537174,19046.301199,19000.44283,14407.475272,1216.25387,8039.977633,78894.532776,
"19100005: Ward 5",2048.718425,7219.531623,1577.798761,19210.813203,21306.866475,11782.640109,846.06051,6673.143174,70665.57228,
"19100006: Ward 6",7753.548678,21264.775829,6291.676376,26085.168498,11035.84709,3370.478688,986.40023,10384.019829,87171.915218,
"19100007: Ward 7",5229.95757,16891.432052,5258.697108,27967.348722,14886.705938,6028.292883,926.61001,8137.863893,85326.908176,
"19100008: Ward 8",2174.036042,8659.441724,1725.455568,15707.234138,22201.620077,16339.24281,843.60979,6142.29634,73792.936489,
"19100009: Ward 9",3470.386546,13130.158758,4257.069795,22924.197818,15218.014013,5910.423787,712.88784,10715.016461,76338.155018,
"19100010: Ward 10",2701.75066,9926.818058,3213.284787,24044.844678,20112.004598,7085.730469,1562.34591,9352.620582,77999.399742,
"19100011: Ward 11",4242.689077,16087.149724,4717.334219,29118.438315,18747.340852,12276.627455,1274.84936,9756.179756,96220.608758,
"19100012: Ward 12",5281.13295,22813.13945,8129.882288,33660.42593,11481.204863,1758.85296,948.87713,9950.095363,94023.610934,
"19100013: Ward 13",3981.987846,19444.922729,6676.987369,31406.401008,8584.245466,877.449538,233.98449,9711.993491,80917.971937,
"19100014: Ward 14",5724.61247,18522.906099,5662.355049,29649.05556,18210.670984,9918.549636,729.84911,10151.370082,98569.36899,
"19100015: Ward 15",1746.482866,6620.284046,1556.304865,10101.022187,14368.781322,19999.400284,990.09573,3690.446165,59072.817465,
"19100016: Ward 16",5689.941246,22933.085217,6952.682467,38017.075153,16890.431095,3357.550185,1022.1007,12935.341637,107798.2077,
"19100017: Ward 17",5874.919398,23399.938401,7675.766494,39561.407016,19045.803067,5349.008309,1093.55738,12000.409137,114000.809202,
"19100018: Ward 18",5942.057969,17572.921352,4966.782322,22854.64494,9291.713799,2240.662182,457.30098,8169.406248,71495.489792,
"19100019: Ward 19",6142.047865,22744.7901,6473.336572,33597.516345,14529.877293,5409.850922,388.24292,12803.177153,102088.83917,
"19100020: Ward 20",4410.780043,21371.30267,6950.310903,32037.170646,9127.757191,1058.969082,294.25089,10161.263673,85411.805098,
"19100021: Ward 21",1656.138145,6274.367167,1207.535791,9161.1447,16136.852513,22406.830446,1604.2118,3769.435407,62216.515969,
"19100022: Ward 22",4143.416374,17226.011173,6144.621149,29944.363014,15666.475373,6753.546827,956.48794,8528.797571,89363.719421,
"19100023: Ward 23",1925.035345,7203.855785,1343.881354,10584.612945,19922.992153,21488.866028,2017.17089,4820.15463,69306.56913,
"19100024: Ward 24",5122.799351,20346.925539,7956.130139,30311.131912,8119.77524,1311.181419,1294.84187,8335.371838,82798.157308,
"19100025: Ward 25",5733.913659,25613.404428,9796.892731,39896.735794,14904.07693,3012.71027,831.79182,11111.212329,110900.737961,
"19100026: Ward 26",3510.032189,14999.123208,5161.718013,31671.519608,18326.719538,5182.407602,1073.57135,7782.208234,87707.299742,
"19100027: Ward 27",1929.045398,7274.851164,1679.160122,24387.832306,22944.325529,9181.23659,1770.90084,4951.410372,74118.762321,
"19100028: Ward 28",4343.361886,19645.756889,7914.044664,32104.326498,11235.642754,1686.207584,913.83742,8317.165445,86160.34314,
"19100029: Ward 29",5156.729131,23456.706592,8616.668323,39493.644628,14804.393692,2486.937453,2841.17256,11366.147738,108222.400117,
"19100030: Ward 30",4891.085138,22400.706197,7788.423936,38296.820753,13869.576993,2210.3916,1861.44522,9885.659632,101204.109469,
"19100031: Ward 31",5333.893638,24539.607691,8681.961773,34115.277746,10460.875069,3084.323473,1096.21498,10336.332028,97648.486398,
"19100032: Ward 32",5730.019199,23320.144697,7842.909725,33788.96851,13381.967736,1996.700205,1210.04868,10692.02843,97962.787182,
"19100033: Ward 33",4150.489771,15756.061177,4265.070028,28664.385302,12511.284091,1587.998998,196.70603,9358.728506,76490.723903,
"19100034: Ward 34",5542.721355,18251.062596,5156.410208,29013.759605,10716.597255,1685.273624,411.60618,9695.028084,80472.458907,
"19100035: Ward 35",5113.752811,18250.68663,4589.02247,24809.703374,10515.550763,1717.358672,343.15423,9271.832624,74611.061574,
"19100036: Ward 36",9479.079643,24400.225247,6564.085683,30134.110166,10098.048687,1846.579728,954.77806,10742.708983,94219.616197,
"19100037: Ward 37",6478.763006,16381.114936,5030.725871,22510.847723,7178.69883,1272.869371,733.20837,7140.907394,66727.135501,
"19100038: Ward 38",5054.741747,14135.924612,4518.747787,24065.344805,10136.045888,2634.462068,885.09428,6299.842121,67730.203308,
"19100039: Ward 39",6879.35658,16033.222198,4955.068366,24013.014818,7033.091614,1685.126502,388.48011,8159.62937,69146.989558,
"19100040: Ward 40",4374.200426,13228.241253,4129.878872,25509.210544,10920.134428,1760.25765,695.03044,7103.37695,67720.330563,
"19100041: Ward 41",3804.482292,12836.687291,4064.136919,24674.105715,11557.712808,3031.208294,826.11053,5903.049945,66697.493794,
"19100042: Ward 42",4271.336952,14581.453371,4722.30119,27294.108575,10095.982055,1553.423291,981.74115,7075.238106,70575.58469,
"19100043: Ward 43",3752.637733,17407.64644,5900.211708,38515.402701,21139.395047,7063.675853,1268.72191,9808.725896,104856.417288,
"19100044: Ward 44",4682.333278,18624.830924,7264.172402,34758.18449,13014.743044,3099.789712,1001.54035,9438.659116,91884.253316,
"19100045: Ward 45",5006.553868,22744.721238,8202.341211,33727.145149,9814.15557,1992.37609,1149.90775,9705.700978,92342.901854,
"19100046: Ward 46",4685.369182,20925.552063,8068.368679,36528.446649,14216.812242,4349.051992,1881.18746,9994.367646,100649.155913,
"19100047: Ward 47",5560.017734,23975.41825,9384.191476,37022.860968,8635.222777,444.708234,1058.13414,10740.991138,96821.544717,
"19100048: Ward 48",3773.101733,13462.192205,4943.3067,30217.601159,20712.1115,10875.046333,1789.15333,7100.012717,92872.525677,
"19100049: Ward 49",4408.415136,20341.427423,8854.010358,42590.549083,15142.144909,3123.920609,1632.14967,9269.147944,105361.765132,
"19100050: Ward 50",4879.254211,23467.167432,10097.203673,37958.449659,10387.043046,701.313024,810.44023,9433.164728,97734.036003,
"19100051: Ward 51",4442.577397,12035.860389,3803.318407,24590.740545,12252.001648,3585.355487,492.20871,6483.981537,67686.04412,
"19100052: Ward 52",5319.522869,14256.96959,4392.050775,24063.079189,9828.323117,1565.619202,334.26449,7151.628341,66911.457573,
"19100053: Ward 53",2325.793319,9501.716055,2616.647936,18965.234539,17299.102133,17302.117076,3819.28652,7140.611736,78970.509314,
"19100054: Ward 54",1381.816607,3972.178508,1236.391725,11442.187263,21856.280721,24650.191576,4224.02618,6109.312013,74872.384593,
"19100055: Ward 55",2935.131017,9872.83922,2934.066472,27807.336831,19973.739918,11889.697629,1307.8315,8594.067823,85314.71041,
"19100056: Ward 56",3835.48177,16453.735962,6153.965538,33236.161492,16657.213893,6919.146813,1562.67094,8174.515486,92992.891894,
"19100057: Ward 57",2234.290099,7450.777485,2568.652647,18205.973905,24572.251437,19983.865962,2811.8386,11360.377669,89188.027804,
"19100058: Ward 58",1765.290621,6535.089215,1489.791931,11721.357222,19856.624546,31430.242784,1949.04873,7287.588026,82035.033075,
"19100059: Ward 59",1092.660106,4210.619285,1143.349743,8710.923422,18816.208767,28205.896919,2492.41127,4931.363018,69603.43253,
"19100060: Ward 60",2979.219096,11541.860663,3142.835693,26312.035568,21005.37315,15070.304708,1793.03545,6703.095036,88547.759364,
"19100061: Ward 61",4137.640799,13596.569048,4653.578262,22976.188113,15278.101188,9801.945457,1023.78088,12646.536862,84114.340609,
"19100062: Ward 62",1806.383735,6698.190104,1754.306791,12728.684019,15546.746939,22011.198688,2151.13061,5226.790179,67923.431065,
"19100063: Ward 63",2841.88905,10411.864891,3006.511116,25247.089293,20085.577095,12941.832723,1223.80888,6399.164394,82157.737442,
"19100064: Ward 64",1335.626495,5652.191783,1299.39535,13421.83372,19574.501469,16742.597395,1286.77133,5018.776392,64331.693934,
"19100065: Ward 65",3411.21531,14909.554907,5596.351617,30012.452948,14431.87046,4239.703607,898.45279,7212.824858,80712.426497,
"19100066: Ward 66",4244.759604,19489.693109,7494.774378,31325.363224,10977.365111,3066.01715,865.17218,8538.106159,86001.250915,
"19100067: Ward 67",4454.712576,20829.848972,6891.656824,34125.924777,14286.636234,3647.957972,879.6624,10679.165088,95795.564843,
"19100068: Ward 68",5198.974836,22286.388157,8931.182134,37032.957787,11889.160017,2540.746877,1359.39713,8999.411821,98238.218759,
"19100069: Ward 69",3400.803153,11541.388866,2793.055642,20123.563273,16146.09629,10996.662057,917.43335,7381.533769,73300.5364,
