LocalMunicipalityCode,LocalMunicipalityName,No_schooling,Some_primary,Complete_primary,Some_secondary,Grade_12_Std_10,Higher
KZN274,Hlabisa,25.30013491636462,34.637914308488135,6.446327803687396,23.053148234641522,9.29818869014946,1.2642860466688575
KZN275,Mtubatuba,23.14524293384691,34.08214521958196,6.186031985401051,23.185457579763852,10.869518351665452,2.5316039297148394
KZN282,uMhlathuze,12.720532004120916,25.560898813470644,5.350275416052866,27.086002804132676,21.274864849723905,8.007426112499004
KZN286,Nkandla,29.96126353760811,35.462829314626546,5.933366599502613,19.953004926518986,7.220965495769471,1.4685701259742885
KZN281,Mfolozi,20.270531278319805,34.20802228257545,6.44442875086481,26.312149788406668,11.476598936537624,1.2882689632956397
KZN283,Ntambanana,25.57263224537627,37.29484676467467,6.19182779260643,22.277521949298983,7.800814335547175,0.8623569124964705
KZN284,uMlalazi,26.104264803087908,33.764892387498804,6.401831876385692,22.582253027056236,8.851349257997713,2.2954086479736673
KZN285,Mthonjaneni,26.355704061575906,34.826565088690735,6.114657136047401,21.423006312708566,9.216108441252615,2.0639589597247725
KZN431,Ingwe,20.39066599233105,40.53766874135075,7.637007908833766,23.73028142109519,6.194448930812921,1.5099270055763307
KZN432,Kwa Sani,14.818803605432384,36.39558838546451,7.310658678544926,24.77984397691643,10.982610139147104,5.7124952144946635
KZN433,Greater Kokstad,9.38205230373805,32.70327194326795,7.386729019704692,30.26170247081949,14.59536442856589,5.670879833903935
KZN434,Ubuhlebezwe,19.397962989318156,39.482997782345585,7.51684431896474,23.955113919631305,7.697826506943463,1.949254482796756
KZN435,Umzimkhulu,14.289482796950367,45.94909652062801,7.7491727953612335,24.524663776591233,5.3404700757121715,2.1471140347343454
KZN241,Endumeni,11.731500669769542,28.974345003402053,6.408505757640838,30.196837842770247,17.13973544280363,5.549075283613696
KZN242,Nqutu,22.793479651744683,39.569507067234596,6.6358130670945314,22.66990013433284,7.042586398615709,1.2887136809534123
KZN244,Msinga,40.35453427959073,32.59862600946891,4.78698065671416,15.52103599776794,5.534762719958479,1.2040603364760545
KZN245,Umvoti,26.822312923161494,32.54191890731512,5.930930003080895,22.481748973042176,9.714609644869274,2.5084795485310556
KZN252,Newcastle,11.42328172903649,27.69362137912601,6.468284130260886,31.58290969135546,17.25599858168857,5.575904488532575
KZN253,Emadlangeni,18.634627500066305,40.57336338629916,6.906358118019654,22.05541463007679,8.775743529643698,3.0544928358943966
KZN254,Dannhauser,15.673018929895502,35.325794501197166,7.489316322052559,29.44321364702498,10.347632704787854,1.72102389504193
KZN263,Abaqulusi,19.37602796374147,32.77464517862673,6.377056433571876,26.294955761402782,11.808885803301605,3.36842885935553
KZN261,eDumbe,22.166050038400055,36.80579397388393,6.642930399678577,24.33014338916002,8.31848713570696,1.7365950631704472
KZN262,UPhongolo,22.454519740846877,35.14832314932638,6.804818347601689,23.55040279967664,9.974417596116165,2.0675183664322505
KZN265,Nongoma,24.30374774060532,36.019882273730744,6.222545785348544,22.59907121230384,9.143769939768898,1.7109830482630812
KZN266,Ulundi,25.106456667085492,32.7771251143444,6.073608754348444,22.45761348715598,11.219295452588034,2.365900524456229
KZN294,Maphumulo,29.72471047716284,35.60553401435799,6.096646928553142,20.533694741061744,6.754125640356722,1.2852881985075617
KZN291,Mandeni,14.60122819437088,31.996185134113208,7.009541953574148,29.425614575324683,14.41589453492236,2.551535607663843
KZN292,KwaDukuza,15.80810469256331,27.817278169331527,6.444167611478468,28.698493381984463,16.56973029120323,4.662225853438999
KZN293,Ndwedwe,25.417810079164997,34.77636322845628,6.660750471225894,23.84337019611174,8.279288291936744,1.0224177330788566
ETH,eThekwini,8.954495079338676,22.440461271957318,5.817934435727862,33.09036355479128,22.235448543400587,7.461297114785497
LIM331,Greater Giyani,25.759727580123524,31.07028581748062,6.730381048806512,24.103981840759996,8.823443694661846,3.51218001816749
LIM332,Greater Letaba,28.0985212531396,30.266599847617236,6.147118453760167,25.772105300812175,7.205720532518829,2.509934612170178
LIM333,Greater Tzaneen,23.25270357474748,27.994034572028447,6.46465906412349,27.621449564616157,10.514377836660998,4.152775387833777
LIM334,Ba-Phalaborwa,19.52487221745737,26.695913356571577,5.848472345695916,28.466145287899842,13.614501048383199,5.850095743992099
LIM335,Maruleng,25.248547716449572,30.13436562928246,6.484051052972662,26.856310241836923,8.053086553107278,3.2236388063510897
LIM342,Mutale,21.28607538824476,33.798754113455246,7.043357710124484,26.802040941138088,7.94467500124185,3.125096845795582
LIM343,Thulamela,20.0682359190866,30.30692055366847,6.666997759099013,27.67666181716543,10.307516298300612,4.97366765267987
LIM341,Musina,17.391256242084292,23.86985757527505,8.582637477953677,32.80250752251484,12.844751326060502,4.508989856111624
LIM344,Makhado,22.097511720544023,29.08566385972487,6.68688262257975,28.041308298265765,9.962660597047494,4.125972901838109
LIM351,Blouberg,27.55813297915686,33.14372269221224,6.659084933329261,24.429508418772144,5.97471421692946,2.2348367596238425
LIM352,Aganang,19.44004353015555,32.87530057099417,7.596805934522859,28.780170967313158,8.62248222930542,2.685196767708856
LIM353,Molemole,22.949897267319322,28.940098742050463,6.635675714158312,29.46018456091585,8.429833879875314,3.5843098356807386
LIM354,Polokwane,12.139577094144492,26.223788859366493,6.325148622015318,30.72939593076717,16.52239927614343,8.0596902175631
LIM355,Lepele-Nkumpi,20.890583450723685,29.1331421043439,6.257714816598496,27.77640313971153,10.952483194476189,4.98967329414619
LIM361,Thabazimbi,15.204298530964088,27.009779808138223,7.707614750753307,30.77368370936687,15.015368654301783,4.289254546475736
LIM362,Lephalale,16.88725831225447,30.14829104571693,6.898514910651259,28.628769252129338,11.97606037802251,5.461106101225481
LIM364,Mookgopong,17.169105279903373,27.66660081519249,6.69107460658665,29.227010508089908,14.583206082029054,4.6630027081985315
LIM365,Modimolle,17.385836736150093,31.72081434212047,7.44313853231623,26.5153195365131,12.132166720577791,4.802724132322318
LIM366,Bela-Bela,14.058779226121098,30.775306224762268,6.916103621126733,28.45511509139746,14.382662048842729,5.412033787749719
LIM367,Mogalakwena,20.67842706907795,29.853880350542422,6.454328956311152,28.958325156830995,10.378363335222751,3.676675132027803
LIM471,Ephraim Mogale,24.366230157709595,31.255342149801603,6.652458345477627,26.427971482424645,8.868518696427493,2.429479168159041
LIM472,Elias Motsoaledi,26.529302457884267,29.224390328883675,6.109538797335504,26.09257143960499,9.256402006953781,2.7877949693546644
LIM473,Makhuduthamaga,25.20110275262754,30.615930942454415,6.16623489085055,26.92719190575846,8.522828218679706,2.566711289629316
LIM474,Fetakgomo,28.06751612077823,27.68427746641246,5.822122372752743,26.752363923544902,8.871541919194074,2.802178197317601
LIM475,Greater Tubatse,22.951009820979984,28.586164481722992,6.247851270365218,30.10002610569673,9.41646062263817,2.698487698596903
MP301,Albert Luthuli,23.830886734742272,31.13271541729599,6.566846704395066,25.32739615516018,10.496583929221062,2.6455710591854156
MP302,Msukaligwa,17.766497787067504,27.530671313804277,6.420401931122475,28.871687220509983,14.70312677824197,4.707614969253779
MP303,Mkhondo,21.780413515523836,33.10651946139557,6.766829078550396,24.663330020922146,11.185115562939886,2.4977923606960117
MP304,Pixley Ka Seme,23.985908188199943,31.869412851049827,6.250986201261961,23.93010083037409,10.64821107074171,3.315380858372472
MP305,Lekwa,16.17369323191537,30.7428463326382,6.770500083894294,28.24640389187998,13.188318871087832,4.878237588584304
MP306,Dipaleseng,19.425227365968926,31.24216382168304,6.648702610633961,28.142569246443788,11.684060296852099,2.8572766584181872
MP307,Govan Mbeki,13.797839221124802,24.82107699369538,6.337540457335216,30.6029854069562,17.741246447030406,6.6993114738579775
MP311,Victor Khanye,18.79940544911249,28.09223447966876,6.530008204391299,28.616324634274022,13.818200744543724,4.143826488009709
MP312,Emalahleni,10.977167675752026,22.716683832956434,6.1792276955052365,32.71316787062776,19.453577200072626,7.960175725073452
MP313,Steve Tshwete,12.40973941544329,22.40478543315777,5.6871526953437295,29.904391718969652,21.089523627319124,8.504407109766433
MP314,Emakhazeni,19.73395541366551,27.236491802576722,7.317026083746975,27.78790798285628,13.971701126061161,3.9529175910933496
MP315,Thembisile,21.73881664260021,29.43495980585157,6.481840837921057,27.60805180413478,12.323688955345414,2.412641954161136
MP316,Dr JS Moroka,21.63563466758778,29.39264362103753,6.539037523363615,27.183928013656345,12.254970569834365,2.9937856045203555
MP321,Thaba Chweu,15.597102562534696,26.09560518125314,6.802223972269989,29.453969853812612,16.50289340718207,5.5482050229474815
MP322,Mbombela,17.862294169499055,26.95903549014826,6.300710474816622,25.902302509932042,16.860492292551395,6.115165063060338
MP323,Umjindi,15.92535489007135,25.838111626260744,6.673240905818482,28.74597249771792,17.77647618001646,5.040843900115028
MP324,Nkomazi,28.039828937256605,30.838712225991475,6.241278658922994,21.451227301499713,10.664564904009364,2.7643879723198608
MP325,Bushbuckridge,23.13894475822739,30.97178886020227,6.089104280405815,25.812356596822493,10.798484616157406,3.1893208881846347
NW371,Moretele,14.783628525815773,30.50426200549019,7.422837474086556,31.426357339454224,13.449818973085485,2.413095682067763
NW372,Madibeng,12.828490804934772,27.128383533857708,6.989324470902865,32.53062422328018,16.063199137762936,4.4599778292714305
NW373,Rustenburg,10.580629293730508,25.10376140029719,7.054854746362999,32.80282348146004,19.10222572217756,5.355705355971694
NW374,Kgetlengrivier,20.34054281253601,31.66391390372194,6.934693828376464,24.843202588585154,12.788801582233006,3.428845284547419
NW375,Moses Kotane,15.408508398915256,29.851905993318884,7.127451765789074,30.641068953538298,13.713143341430033,3.257921546992419
NW381,Ratlou,29.102593331901005,38.9573367467937,6.442089963527992,19.509669293513998,4.670391952974154,1.3179187112891422
NW382,Tswaing,24.289539387318754,37.36446710029553,6.714957224027026,21.324278357549847,7.564785387282777,2.7419725435260567
NW383,Mafikeng,15.64326290062473,29.598822743498225,6.276419296118563,27.04869301264854,15.204734692242667,6.228067354867279
NW384,Ditsobotla,19.30913541286487,34.36627855503944,6.97473020672263,24.685654564020464,10.9377552168044,3.726446044548188
NW385,Ramotshere Moiloa,24.523838711301035,30.977918453941744,6.147981306389533,24.19576609350981,10.767785720585357,3.3867097142725338
NW392,Naledi,23.31599605824435,29.4968797580583,6.110299690908158,24.309850413652224,11.982889056173573,4.784085022963399
NW393,Mamusa,26.781260315706728,36.06456800312654,6.593208735365167,20.299606221077052,7.87693118898079,2.384425535743726
NW394,Greater Taung,23.55314329822687,37.812590252600906,6.745517833284651,23.090251001251662,6.5674774237369675,2.2310201908989336
NW396,Lekwa-Teemane,22.67148719812319,32.83196376856849,6.357597071886575,24.391459274639583,10.853073306276634,2.894419380505527
NW397,Kagisano/Molopo,32.142735363902986,36.47438859792956,5.844776455111639,17.333208372263336,5.864920796354982,2.33997041443749
NW401,Ventersdorp,19.465982018809648,36.16029098253563,8.03498044385328,25.022062367545427,8.688305631195549,2.628378556060457
NW402,Tlokwe City Council,11.162313393321272,24.75644506319056,6.377411915122902,29.554084795164243,19.31813237313394,8.831612460067072
NW403,City of Matlosana,12.950243615202945,26.917559585845623,6.907470761952784,32.077396741482765,16.196274696587878,4.951054598928011
NW404,Maquassi Hills,25.972573768717293,33.872511434728516,6.648201268142924,21.763747161820604,9.295590170682857,2.4473761959078044
NC061,Richtersveld,7.334327563289012,28.626290568068768,13.733575021479988,34.091501052071806,11.98765258625007,4.226653208840356
NC062,Nama Khoi,6.520163421136134,28.92137885336806,10.805844350856848,36.79072699944733,12.013228722473789,4.948657652717841
NC064,Kamiesberg,9.995607159862459,32.76776179205219,11.310829198120588,33.28756410990671,9.771689202617544,2.8665485374405093
NC065,Hantam,19.871685157309273,32.12584855825335,8.18955565030246,24.31201640274842,10.965771587181157,4.5351226442053365
NC066,Karoo Hoogland,24.32397847038357,30.51266433911079,7.445364055927824,22.082480536671888,9.829572578864225,5.805940019041706
NC067,Khâi-Ma,8.322488320684524,30.82734655431249,9.873068928411968,35.77134676198848,11.593287164267645,3.612462270334888
NC071,Ubuntu,22.710623228792556,34.890413773809776,7.76058965524106,21.584384040676643,8.619969768595823,4.434019532884145
NC072,Umsobomvu,20.32657569988255,34.128729334439434,7.2208863661626825,24.539863974523975,10.276370826363246,3.5075737986281377
NC073,Emthanjeni,16.43997370460362,31.58284044697519,7.64361993891227,27.855972193797935,12.39357376156636,4.084019954144629
NC074,Kareeberg,23.610833910472113,32.64462508755332,7.554480655660879,23.331773389489488,8.98042101397042,3.877865942853762
NC075,Renosterberg,21.404764526530233,35.11575349004907,7.054951929231958,22.345861280098543,10.173712144778232,3.9049566293119544
NC076,Thembelihle,21.96310263323568,34.65450769495278,7.5079408537843895,22.33570169902577,9.615732541744217,3.9230145772571743
NC077,Siyathemba,17.610601043728526,34.94229632518419,8.633813586730515,26.089627793774444,9.180301412929527,3.5433598376527904
NC078,Siyancuma,24.32636260384749,36.10518930678241,7.803147076091686,20.940530382908698,7.702925406285186,3.121845224084532
NC081,Mier,16.851188231192516,37.22756141576428,10.0583439389893,25.195857472633833,7.868296990428216,2.7987519509918504
NC082,Kai !Garib,13.89448317897973,35.65547947922232,9.462008962592979,28.972154475738865,8.62417775559926,3.391696147866853
