OAXXCD,E.01,E.11,E.21
X0000038E,0.7145618424546444,0.8041307001115089,0.8256392889540659
X0000039E,0.6300969733569768,0.8554898493835807,0.9097854489241091
X0000040E,0.5826786440625286,0.7739216781178329,0.7574241610123993
X0000041E,0.6270421720992468,0.7783249494863179,0.8196895323643034
X0000042E,0.5990555733763372,0.8185458785245775,0.7199772617913685
X0000043E,0.6322332280597308,0.7758606093428418,0.7982580422690687
X0000044E,0.5936699590664344,0.7721458104528757,0.8411359258160536
X0000045E,0.7073093232361528,0.7996937534218503,0.844187169422815
X0000046E,0.7128450035973575,0.8272384058739987,0.8103767859824562
X0000047E,0.531716204375121,0.8165117857414859,0.7621971466671772
X0000048E,0.7124201546270803,0.8035718600494801,0.7882150494633768
X0000049E,0.7229662359889055,0.8390633198647552,0.8131341432305988
X0000050E,0.7870194485953842,0.8214001259058862,0.7858805893228268
X0000051E,0.5661015372485753,0.7962282212222047,0.8614072343954515
X0000052E,0.5460279506829275,0.750526799973999,0.8251200412789078
X0000053E,0.5692057713152707,0.7966503040364693,0.8504379878041222
X0000054E,0.6277102250652417,0.8454718226961241,0.8325719703393832
X0000055E,0.7004400775172148,0.8606158580392457,0.8440554409967825
X0000056E,0.662757015596688,0.7583828233355173,0.7961448836461483
X0000057E,0.7233598563485544,0.8127048001594266,0.8666909607059956
X0000058E,0.622172443170286,0.7582465401342335,0.804761347253534
X0000059E,0.744273255969812,0.8798408669250453,0.8305185998381015
X0000060E,0.6113007372388454,0.7997628014408861,0.7988434526302309
X0000061E,0.681833121172684,0.8143510752800008,0.7558286517589184
X0000062E,0.060808197961471064,0.3960211977988083,0.6731522274066476
X0000063E,0.14421477789823442,0.5686757985657327,0.7412139279706242
X0000064E,0.1857012087683369,0.4370213347335708,0.6513273213457541
X0000065E,0.26739002439732024,0.6012525454481857,0.6973541632394805
X0000066E,0.2612810709452215,0.5708696255995123,0.6449014174917267
X0000067E,0.2299653275101838,0.4648821797825745,0.7868629318755839
